cartodb_id,the_geom,city,state,shape_1,duration,summary,posted,month,country,date_time,cartodb_georef_status
3129,0101000020E61000001AFA27B858F351C0DA20938C9C214540,Worcester,MA,Light,~10-15 seconds,Pretty big ball of light which was very bright descending very rapidly towards the ground and then suddenly dissappeared completely.,2015-08-13,August,USA,2015-08-12,true
3567,0101000020E6100000C9AB730CC8A65EC00DC347C494784740,Yelm,WA,Triangle,Ongoing,"4 Triangular craft, lit up by lights, seen in sky, remained stationary and I never saw them depart.",2015-07-23,July,USA,2015-07-18,true
3082,0101000020E6100000401361C3D34D5EC0B56CAD2F12E64240,Manteca,CA,Diamond,20 seconds,Seen 2 flying fireball objects gliding across back yard sky. There was no noise of any type of motor and they glided side by side.We wa,2015-08-27,August,USA,2015-08-14,true
3689,0101000020E6100000035B25581C8C5DC08AABCABE2BE24040,Long Beach,CA,Unknown,1 minute,A large orange flash light coming from the back ( maybe a propulser?) of an unknow flying object. Flash was then kind of absorbed back,2015-11-12,July,USA,2015-07-11,true
3107,0101000020E6100000035B25581C8C5DC08AABCABE2BE24040,Long Beach,CA,Formation,1 minute,Two strange lights (similar to satellites) following eachother and varying in brightness.,2015-08-27,August,USA,2015-08-13,true
3547,0101000020E610000004E275FD82B953C0179F02603CFF4140,Durham,NC,Rectangle,2 minutes,"Silver almost translucent, object flying over Durham.",2015-07-23,July,USA,2015-07-20,true
3434,0101000020E610000004E275FD82B953C0179F02603CFF4140,Durham,NC,Cigar,3 minutes,"Driving and saw a cigar shaped object moving slowly, gliding. Way larger than a plane. Not near the airport. Thought maybe it was a bl",2015-07-31,July,USA,2015-07-27,true
3046,0101000020E61000002D26361FD70056C03B53E8BCC60A4540,Rolling Meadows,IL,Light,1601,"Orb that pulsed on and off, that fly across the fly like shadows and if the go faster they light. They appear every other day here.",2015-08-27,August,USA,2015-08-16,true
3702,0101000020E6100000E3C798BB96AC53C06649809A5A824540,East Amherst,NY,Triangle,20 seconds,Black triangle with six lights.,2015-07-17,July,USA,2015-07-10,true
3507,0101000020E6100000A1F831E6AE3354C006F52D73BA9C3C40,Titusville,FL,Light,8 minutes,"Saw what appeared to be a star near the moon, however it was moving slowly to the west.",2015-07-31,July,USA,2015-07-23,true
